###### Energy (MeV)	MeV/nt##################
2	2
0	0.3379
0.0001	0.3379
0.00011	0.3379
0.00012	0.3379
0.00013	0.3379
0.00014	0.3379
0.00015	0.3379
0.00016	0.3379
0.00018	0.3379
0.0002	0.338
0.00022	0.338
0.00024	0.338
0.00026	0.338
0.00028	0.338
0.0003	0.338
0.00032	0.338
0.00036	0.338
0.0004	0.338
0.00045	0.338
0.0005	0.338
0.00055	0.338
0.0006	0.338
0.00065	0.338
0.0007	0.338
0.00075	0.338
0.0008	0.338
0.00085	0.338
0.0009	0.338
0.001	0.338
0.0011	0.338
0.0012	0.338
0.0013	0.338
0.0014	0.338
0.0015	0.338
0.0016	0.3381
0.0018	0.3381
0.002	0.3381
0.0022	0.3381
0.0024	0.3381
0.0026	0.3381
0.0028	0.3381
0.003	0.3382
0.0032	0.3382
0.0036	0.3382
0.0042	0.3382
0.0045	0.3383
0.005	0.3383
0.0055	0.3383
0.006	0.3385
0.0065	0.3885
0.007	0.3391
0.0075	0.3394
0.008	0.3398
0.0085	0.3401
0.009	0.3404
0.01	0.341
0.011	0.3416
0.012	0.3422
0.013	0.3428
0.014	0.3435
0.015	0.3441
0.016	0.3447
0.018	0.3459
0.02	0.3472
0.022	0.3484
0.024	0.3497
0.026	0.351
0.028	0.3523
0.03	0.3536
0.032	0.355
0.036	0.3577
0.04	0.3605
0.045	0.3641
0.05	0.3677
0.055	0.3713
0.06	0.375
0.065	0.3788
0.07	0.3825
0.075	0.3863
0.08	0.39
0.085	0.3938
0.09	0.3975
0.1	0.405
0.11	0.4124
0.12	0.4197
0.13	0.4269
0.14	0.434
0.15	0.441
0.16	0.4479
0.18	0.4612
0.2	0.474
0.22	0.4862
0.24	0.4978
0.26	0.5089
0.28	0.5194
0.3	0.5294
0.32	0.5387
0.36	0.5559
0.4	0.5709
0.45	0.5868
0.5	0.5998
0.55	0.6102
0.6	0.6181
0.65	0.6238
0.7	0.6274
0.75	0.6292
0.8	0.6292
0.85	0.6276
0.9	0.6245
1	0.6141
1.1	0.5979
1.2	0.5756
1.3	0.5466
1.4	0.5099
1.5	0.4647
1.6	0.4105
1.8	0.2271
2	0.1276
2.2	0.01403
2.2801	0
#########################################
